log_id,user_id,command_id,input_args,output,timestamp
1,,,help,,2025-11-22T10:41:59
2,,,cu,,2025-11-22T10:42:04
3,,,logi,,2025-11-22T10:42:14
4,,,login,,2025-11-22T10:42:17
5,5,,date,,2025-11-22T10:42:28
6,5,,log,,2025-11-22T10:42:31
7,5,,time,,2025-11-22T10:43:43
8,5,,logout,,2025-11-22T10:44:30
9,,,system,,2025-11-22T10:45:45
10,,,login,,2025-11-22T10:45:48
11,5,,system,,2025-11-22T10:46:03
12,,,ll,,2025-11-22T10:53:44
13,,,login,,2025-11-22T10:53:47
14,,,lo,,2025-11-22T10:54:32
15,,6,login,,2025-11-22T10:54:35
16,,6,login,,2025-11-27T10:56:30
17,2,,df testalii,,2025-11-27T10:57:08
18,,,lgi,,2025-11-27T11:16:28
19,,,u,,2025-11-27T11:26:12
20,,,cu,,2025-11-27T11:26:16
21,,,cu,,2025-11-27T11:26:38
22,,,cu,,2025-11-27T11:26:49
23,,6,login,,2025-11-27T11:26:55
